n,r,m
"(:Release:Release_depend:Release_depend_SemVer {id: com.github.nijian.jkeel:jkeel-report-jasper:0.0.3,artifact_id: com.github.nijian.jkeel:jkeel-report-jasper,version: 0.0.3,timestamp: 1555341973000})","[:dependency {scope: test,targetVersion: 2.11.2}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.apereo.cas:cas-server-support-ignite-ticket-registry:6.0.5.1,artifact_id: org.apereo.cas:cas-server-support-ignite-ticket-registry,version: 6.0.5.1,timestamp: 1569142775000})","[:dependency {scope: test,targetVersion: 2.11.1}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.apereo.cas:cas-server-support-ignite-ticket-registry:6.0.5.1,artifact_id: org.apereo.cas:cas-server-support-ignite-ticket-registry,version: 6.0.5.1,timestamp: 1569142775000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.apereo.cas:cas-server-support-ignite-ticket-registry:6.0.5.1,artifact_id: org.apereo.cas:cas-server-support-ignite-ticket-registry,version: 6.0.5.1,timestamp: 1569142775000})",[:dependency_to_log4j {targetVersion: 2.11.1}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.jadira.reflection.cloning:cloning:5.0.0.GA,artifact_id: org.jadira.reflection.cloning:cloning,version: 5.0.0.GA,timestamp: 1450138866000})",[:dependency_to_log4j {targetVersion: 2.2}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.jadira.reflection.cloning:cloning:5.0.0.GA,artifact_id: org.jadira.reflection.cloning:cloning,version: 5.0.0.GA,timestamp: 1450138866000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.jadira.reflection.cloning:cloning:5.0.0.GA,artifact_id: org.jadira.reflection.cloning:cloning,version: 5.0.0.GA,timestamp: 1450138866000})","[:dependency {scope: test,targetVersion: 2.2}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.infinispan.server:infinispan-server-testsuite:9.2.0.Beta2,artifact_id: org.infinispan.server:infinispan-server-testsuite,version: 9.2.0.Beta2,timestamp: 1513609287000})",[:dependency_to_log4j {targetVersion: 2.8.2}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.infinispan.server:infinispan-server-testsuite:9.2.0.Beta2,artifact_id: org.infinispan.server:infinispan-server-testsuite,version: 9.2.0.Beta2,timestamp: 1513609287000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.infinispan.server:infinispan-server-testsuite:9.2.0.Beta2,artifact_id: org.infinispan.server:infinispan-server-testsuite,version: 9.2.0.Beta2,timestamp: 1513609287000})","[:dependency {scope: test,targetVersion: 2.8.2}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.infinispan.server:infinispan-server-testsuite:9.2.0.Beta1,artifact_id: org.infinispan.server:infinispan-server-testsuite,version: 9.2.0.Beta1,timestamp: 1510335040000})",[:dependency_to_log4j {targetVersion: 2.8.2}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.infinispan.server:infinispan-server-testsuite:9.2.0.Beta1,artifact_id: org.infinispan.server:infinispan-server-testsuite,version: 9.2.0.Beta1,timestamp: 1510335040000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.infinispan.server:infinispan-server-testsuite:9.2.0.Beta1,artifact_id: org.infinispan.server:infinispan-server-testsuite,version: 9.2.0.Beta1,timestamp: 1510335040000})","[:dependency {scope: test,targetVersion: 2.8.2}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.graylog2:graylog2-parent:2.0.0-alpha.2,artifact_id: org.graylog2:graylog2-parent,version: 2.0.0-alpha.2,timestamp: 1455202860000})",[:dependency_to_log4j {targetVersion: 2.5}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.graylog2:graylog2-parent:2.0.0-alpha.2,artifact_id: org.graylog2:graylog2-parent,version: 2.0.0-alpha.2,timestamp: 1455202860000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.graylog2:graylog2-parent:2.0.0-alpha.2,artifact_id: org.graylog2:graylog2-parent,version: 2.0.0-alpha.2,timestamp: 1455202860000})","[:dependency {scope: test,targetVersion: 2.5}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.graylog2:graylog2-parent:2.0.0-alpha.1,artifact_id: org.graylog2:graylog2-parent,version: 2.0.0-alpha.1,timestamp: 1454515099000})",[:dependency_to_log4j {targetVersion: 2.5}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.graylog2:graylog2-parent:2.0.0-alpha.1,artifact_id: org.graylog2:graylog2-parent,version: 2.0.0-alpha.1,timestamp: 1454515099000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.graylog2:graylog2-parent:2.0.0-alpha.1,artifact_id: org.graylog2:graylog2-parent,version: 2.0.0-alpha.1,timestamp: 1454515099000})","[:dependency {scope: test,targetVersion: 2.5}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.graylog2:graylog2-parent:2.0.0-alpha.4,artifact_id: org.graylog2:graylog2-parent,version: 2.0.0-alpha.4,timestamp: 1456495486000})",[:dependency_to_log4j {targetVersion: 2.5}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.graylog2:graylog2-parent:2.0.0-alpha.4,artifact_id: org.graylog2:graylog2-parent,version: 2.0.0-alpha.4,timestamp: 1456495486000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.graylog2:graylog2-parent:2.0.0-alpha.4,artifact_id: org.graylog2:graylog2-parent,version: 2.0.0-alpha.4,timestamp: 1456495486000})","[:dependency {scope: test,targetVersion: 2.5}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.graylog2:graylog2-parent:2.0.0-alpha.5,artifact_id: org.graylog2:graylog2-parent,version: 2.0.0-alpha.5,timestamp: 1457111990000})",[:dependency_to_log4j {targetVersion: 2.5}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.graylog2:graylog2-parent:2.0.0-alpha.5,artifact_id: org.graylog2:graylog2-parent,version: 2.0.0-alpha.5,timestamp: 1457111990000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.graylog2:graylog2-parent:2.0.0-alpha.5,artifact_id: org.graylog2:graylog2-parent,version: 2.0.0-alpha.5,timestamp: 1457111990000})","[:dependency {scope: test,targetVersion: 2.5}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.graylog2:graylog2-parent:2.0.0-alpha.3,artifact_id: org.graylog2:graylog2-parent,version: 2.0.0-alpha.3,timestamp: 1455819742000})",[:dependency_to_log4j {targetVersion: 2.5}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.graylog2:graylog2-parent:2.0.0-alpha.3,artifact_id: org.graylog2:graylog2-parent,version: 2.0.0-alpha.3,timestamp: 1455819742000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.graylog2:graylog2-parent:2.0.0-alpha.3,artifact_id: org.graylog2:graylog2-parent,version: 2.0.0-alpha.3,timestamp: 1455819742000})","[:dependency {scope: test,targetVersion: 2.5}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.infinispan:infinispan-jcache-parent:8.2.3.Final,artifact_id: org.infinispan:infinispan-jcache-parent,version: 8.2.3.Final,timestamp: 1468007933000})",[:dependency_to_log4j {targetVersion: 2.5}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.infinispan:infinispan-jcache-parent:8.2.3.Final,artifact_id: org.infinispan:infinispan-jcache-parent,version: 8.2.3.Final,timestamp: 1468007933000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
